Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology
09/06/2020,09/07/2020,Jamaica Bay,JA,437.35,159000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),735054,RT-qPCR - N1
09/06/2020,09/07/2020,Newtown Creek,NC,365.23,194000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1227810,RT-qPCR - N1
09/06/2020,09/07/2020,North River,NR,282.30,137000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),649549,RT-qPCR - N1
09/06/2020,09/07/2020,Oakwood Beach,OB,,,Concentration below Method Limit of Detection,243910,RT-qPCR - N1
09/06/2020,09/07/2020,Owls Head,OH,226.65,81400.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),923524,RT-qPCR - N1
09/06/2020,09/07/2020,Port Richmond,PR,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",224516,RT-qPCR - N1
09/06/2020,09/07/2020,Red Hook,RH,410.33,146000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,257556,RT-qPCR - N1
09/06/2020,09/07/2020,Rockaway,RK,,,Concentration below Method Limit of Detection,117991,RT-qPCR - N1
09/06/2020,09/07/2020,Tallman Island,TI,,,"Concentration below Method Limit of Detection - No signal is 2 out of 3 RT-qPCR wells, result in obtained by averaging signal from the remaining RT-qPCR well",457817,RT-qPCR - N1
09/06/2020,09/07/2020,Wards Island,WI,,,Analytical issue,1173448,RT-qPCR - N1
09/08/2020,09/09/2020,26th Ward,26W,498.51,292000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),318262,RT-qPCR - N1
09/08/2020,09/09/2020,Bowery Bay,BB,951.06,323000.00,,894311,RT-qPCR - N1
09/08/2020,09/09/2020,Coney Island,CI,43277.62,18200000.00,,647635,RT-qPCR - N1
09/08/2020,09/09/2020,Hunts Point,HP,1581.66,958000.00,,781885,RT-qPCR - N1
09/08/2020,09/09/2020,Jamaica Bay,JA,1224.08,446000.00,,735054,RT-qPCR - N1
09/08/2020,09/09/2020,Newtown Creek,NC,306.81,178000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1227810,RT-qPCR - N1
09/08/2020,09/09/2020,North River,NR,414.62,227000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),649549,RT-qPCR - N1
09/08/2020,09/09/2020,Oakwood Beach,OB,539.10,193000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,243910,RT-qPCR - N1
09/08/2020,09/09/2020,Owls Head,OH,862.00,318000.00,,923524,RT-qPCR - N1
09/08/2020,09/09/2020,Port Richmond,PR,1058.58,386000.00,,224516,RT-qPCR - N1
09/08/2020,09/09/2020,Red Hook,RH,478.19,186000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),257556,RT-qPCR - N1
09/08/2020,09/09/2020,Rockaway,RK,270.03,161000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),117991,RT-qPCR - N1
09/08/2020,09/09/2020,Tallman Island,TI,749.58,309000.00,,457817,RT-qPCR - N1
09/08/2020,09/09/2020,Wards Island,WI,1064.58,624000.00,,1173448,RT-qPCR - N1
09/13/2020,09/14/2020,26th Ward,26W,,,Possible analytical issue,318262,RT-qPCR - N1
09/13/2020,09/14/2020,Bowery Bay,BB,1278.41,471000.00,,894311,RT-qPCR - N1
09/13/2020,09/14/2020,Coney Island,CI,16954.03,8180000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,647635,RT-qPCR - N1
09/13/2020,09/14/2020,Hunts Point,HP,491.63,298000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),781885,RT-qPCR - N1
09/13/2020,09/14/2020,Jamaica Bay,JA,469.85,178000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),735054,RT-qPCR - N1
09/13/2020,09/14/2020,Newtown Creek,NC,,,Concentration below Method Limit of Detection,1227810,RT-qPCR - N1
09/13/2020,09/14/2020,North River,NR,,,Concentration below Method Limit of Detection,649549,RT-qPCR - N1
09/13/2020,09/14/2020,Oakwood Beach,OB,227.40,86500.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),243910,RT-qPCR - N1
09/13/2020,09/14/2020,Owls Head,OH,,,Concentration below Method Limit of Detection,923524,RT-qPCR - N1
09/13/2020,09/14/2020,Port Richmond,PR,,,Concentration below Method Limit of Detection,224516,RT-qPCR - N1
09/13/2020,09/14/2020,Red Hook,RH,450.37,175000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),257556,RT-qPCR - N1
09/13/2020,09/14/2020,Rockaway,RK,225.52,156000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),117991,RT-qPCR - N1
09/13/2020,09/14/2020,Tallman Island,TI,,,Possible analytical issue,457817,RT-qPCR - N1
09/13/2020,09/14/2020,Wards Island,WI,394.28,230000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1173448,RT-qPCR - N1
09/15/2020,09/16/2020,26th Ward,26W,523.75,307000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),318262,RT-qPCR - N1
09/15/2020,09/16/2020,Bowery Bay,BB,971.56,342000.00,,894311,RT-qPCR - N1
09/15/2020,09/16/2020,Coney Island,CI,1370.24,601000.00,,647635,RT-qPCR - N1
09/15/2020,09/16/2020,Hunts Point,HP,1050.03,610000.00,,781885,RT-qPCR - N1
09/15/2020,09/16/2020,Jamaica Bay,JA,496.77,186000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),735054,RT-qPCR - N1
09/15/2020,09/16/2020,Newtown Creek,NC,738.88,418000.00,,1227810,RT-qPCR - N1
09/15/2020,09/16/2020,North River,NR,247.91,132000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,649549,RT-qPCR - N1
09/15/2020,09/16/2020,Oakwood Beach,OB,285.50,106000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),243910,RT-qPCR - N1
09/15/2020,09/16/2020,Owls Head,OH,2692.99,978000.00,,923524,RT-qPCR - N1
09/15/2020,09/16/2020,Port Richmond,PR,246.69,95800.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),224516,RT-qPCR - N1
09/15/2020,09/16/2020,Red Hook,RH,275.48,107000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),257556,RT-qPCR - N1
09/15/2020,09/16/2020,Rockaway,RK,,,Analytical issue,117991,RT-qPCR - N1
09/15/2020,09/16/2020,Tallman Island,TI,264.30,111000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),457817,RT-qPCR - N1
09/15/2020,09/16/2020,Wards Island,WI,315.51,183000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1173448,RT-qPCR - N1
09/20/2020,09/21/2020,26th Ward,26W,431.71,264000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),318262,RT-qPCR - N1
09/20/2020,09/21/2020,Bowery Bay,BB,1425.44,537000.00,,894311,RT-qPCR - N1
09/20/2020,09/21/2020,Coney Island,CI,18543.13,8330000.00,,647635,RT-qPCR - N1
09/20/2020,09/21/2020,Hunts Point,HP,567.69,338000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),781885,RT-qPCR - N1
09/20/2020,09/21/2020,Jamaica Bay,JA,801.22,304000.00,,735054,RT-qPCR - N1
09/20/2020,09/21/2020,Newtown Creek,NC,833.82,442000.00,,1227810,RT-qPCR - N1
09/20/2020,09/21/2020,North River,NR,990.69,495000.00,,649549,RT-qPCR - N1
09/20/2020,09/21/2020,Oakwood Beach,OB,643.70,224000.00,,243910,RT-qPCR - N1
09/20/2020,09/21/2020,Owls Head,OH,2762.26,1000000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,923524,RT-qPCR - N1
09/20/2020,09/21/2020,Port Richmond,PR,849.88,312000.00,,224516,RT-qPCR - N1
09/20/2020,09/21/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,257556,RT-qPCR - N1
09/20/2020,09/21/2020,Rockaway,RK,628.06,414000.00,,117991,RT-qPCR - N1
09/20/2020,09/21/2020,Tallman Island,TI,,,Possible analytical issue,457817,RT-qPCR - N1
09/20/2020,09/21/2020,Wards Island,WI,1250.20,681000.00,,1173448,RT-qPCR - N1
09/22/2020,09/23/2020,26th Ward,26W,835.04,479000.00,,318262,RT-qPCR - N1
09/22/2020,09/23/2020,Bowery Bay,BB,289.19,107000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),894311,RT-qPCR - N1
09/22/2020,09/23/2020,Coney Island,CI,270.85,125000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),647635,RT-qPCR - N1
09/22/2020,09/23/2020,Hunts Point,HP,292.78,169000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),781885,RT-qPCR - N1
09/22/2020,09/23/2020,Jamaica Bay,JA,4624.53,1660000.00,,735054,RT-qPCR - N1
09/22/2020,09/23/2020,Newtown Creek,NC,412.77,253000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1227810,RT-qPCR - N1
09/22/2020,09/23/2020,North River,NR,,,Concentration below Method Limit of Detection,649549,RT-qPCR - N1
09/22/2020,09/23/2020,Oakwood Beach,OB,1525.18,533000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,243910,RT-qPCR - N1
09/22/2020,09/23/2020,Owls Head,OH,1011.36,363000.00,,923524,RT-qPCR - N1
09/22/2020,09/23/2020,Port Richmond,PR,,,"Concentration below Method Limit of DetectionNo signal is 2 out of 3 RT-qPCR wells, result in obtained by averaging signal from the remaining RT-qPCR well",224516,RT-qPCR - N1
09/22/2020,09/23/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,257556,RT-qPCR - N1
09/22/2020,09/23/2020,Rockaway,RK,,,Concentration below Method Limit of Detection,117991,RT-qPCR - N1
09/22/2020,09/23/2020,Tallman Island,TI,259.30,105000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),457817,RT-qPCR - N1
09/22/2020,09/23/2020,Wards Island,WI,,,Concentration below Method Limit of Detection,1173448,RT-qPCR - N1
09/27/2020,09/30/2020,26th Ward,26W,1960.40,1230000.00,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",318262,RT-qPCR - N1
09/27/2020,09/28/2020,Bowery Bay,BB,1415.77,516000.00,,894311,RT-qPCR - N1
09/27/2020,09/28/2020,Coney Island,CI,1714.35,875000.00,,647635,RT-qPCR - N1
09/27/2020,09/28/2020,Hunts Point,HP,781.24,473000.00,,781885,RT-qPCR - N1
09/27/2020,09/28/2020,Jamaica Bay,JA,752.91,289000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,735054,RT-qPCR - N1
09/27/2020,09/28/2020,Newtown Creek,NC,1006.97,567000.00,,1227810,RT-qPCR - N1
09/27/2020,09/30/2020,North River,NR,1065.58,508000.00,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",649549,RT-qPCR - N1
09/27/2020,09/28/2020,Oakwood Beach,OB,645.73,227000.00,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",243910,RT-qPCR - N1
09/27/2020,09/30/2020,Owls Head,OH,5173.79,1920000.00,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",923524,RT-qPCR - N1
09/27/2020,09/28/2020,Port Richmond,PR,1715.00,657000.00,,224516,RT-qPCR - N1
09/27/2020,09/28/2020,Red Hook,RH,214.37,83300.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),257556,RT-qPCR - N1
09/27/2020,09/28/2020,Rockaway,RK,,,Analytical issue,117991,RT-qPCR - N1
09/27/2020,09/30/2020,Tallman Island,TI,416.21,182000.00,"Concentration below Method Limit of Quantification (above Method Limit of Detection) - Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",457817,RT-qPCR - N1
09/27/2020,09/28/2020,Wards Island,WI,,,Analytical issue,1173448,RT-qPCR - N1
09/29/2020,09/30/2020,26th Ward,26W,,,This result is not useable (because associated with contaminated method blank),318262,RT-qPCR - N1
09/29/2020,09/30/2020,Bowery Bay,BB,,,This result is not useable (because associated with contaminated method blank),894311,RT-qPCR - N1
09/29/2020,09/30/2020,Coney Island,CI,,,This result is not useable (because associated with contaminated method blank),647635,RT-qPCR - N1
09/29/2020,09/30/2020,Hunts Point,HP,,,This result is not useable (because associated with contaminated method blank),781885,RT-qPCR - N1
09/29/2020,09/30/2020,Jamaica Bay,JA,,,This result is not useable (because associated with contaminated method blank),735054,RT-qPCR - N1
09/29/2020,09/30/2020,Newtown Creek,NC,,,This result is not useable (because associated with contaminated method blank),1227810,RT-qPCR - N1
09/29/2020,09/30/2020,North River,NR,,,This result is not useable (because associated with contaminated method blank),649549,RT-qPCR - N1
09/29/2020,09/30/2020,Oakwood Beach,OB,,,This result is not useable (because associated with contaminated method blank),243910,RT-qPCR - N1
09/29/2020,09/30/2020,Owls Head,OH,,,This result is not useable (because associated with contaminated method blank),923524,RT-qPCR - N1
09/29/2020,09/30/2020,Port Richmond,PR,,,This result is not useable (because associated with contaminated method blank),224516,RT-qPCR - N1
09/29/2020,09/30/2020,Red Hook,RH,,,This result is not useable (because associated with contaminated method blank),257556,RT-qPCR - N1
09/29/2020,09/30/2020,Rockaway,RK,,,This result is not useable (because associated with contaminated method blank),117991,RT-qPCR - N1
09/29/2020,09/30/2020,Tallman Island,TI,,,This result is not useable (because associated with contaminated method blank),457817,RT-qPCR - N1
09/29/2020,09/30/2020,Wards Island,WI,,,This result is not useable (because associated with contaminated method blank),1173448,RT-qPCR - N1
10/04/2020,10/05/2020,26th Ward,26W,,,This result is not useable (because associated with contaminated method blank),318262,RT-qPCR - N1
10/04/2020,10/05/2020,Bowery Bay,BB,,,This result is not useable (because associated with contaminated method blank),894311,RT-qPCR - N1
10/04/2020,10/05/2020,Coney Island,CI,,,This result is not useable (because associated with contaminated method blank),647635,RT-qPCR - N1
10/04/2020,10/05/2020,Hunts Point,HP,,,This result is not useable (because associated with contaminated method blank),781885,RT-qPCR - N1
10/04/2020,10/05/2020,Jamaica Bay,JA,,,This result is not useable (because associated with contaminated method blank),735054,RT-qPCR - N1
10/04/2020,10/05/2020,Newtown Creek,NC,,,This result is not useable (because associated with contaminated method blank),1227810,RT-qPCR - N1
10/04/2020,10/05/2020,North River,NR,,,This result is not useable (because associated with contaminated method blank),649549,RT-qPCR - N1
10/04/2020,10/05/2020,Oakwood Beach,OB,,,This result is not useable (because associated with contaminated method blank),243910,RT-qPCR - N1
10/04/2020,10/05/2020,Owls Head,OH,,,This result is not useable (because associated with contaminated method blank),923524,RT-qPCR - N1
10/04/2020,10/05/2020,Port Richmond,PR,,,This result is not useable (because associated with contaminated method blank),224516,RT-qPCR - N1
10/04/2020,10/05/2020,Red Hook,RH,,,This result is not useable (because associated with contaminated method blank),257556,RT-qPCR - N1
10/04/2020,10/05/2020,Rockaway,RK,,,This result is not useable (because associated with contaminated method blank),117991,RT-qPCR - N1
10/04/2020,10/05/2020,Tallman Island,TI,,,This result is not useable (because associated with contaminated method blank),457817,RT-qPCR - N1
10/04/2020,10/05/2020,Wards Island,WI,,,This result is not useable (because associated with contaminated method blank),1173448,RT-qPCR - N1
10/06/2020,10/07/2020,26th Ward,26W,1168.85,700000.00,,318262,RT-qPCR - N1
10/06/2020,10/07/2020,Bowery Bay,BB,2800.00,963000.00,,894311,RT-qPCR - N1
10/06/2020,10/07/2020,Coney Island,CI,7238.20,3250000.00,,647635,RT-qPCR - N1
10/06/2020,10/07/2020,Hunts Point,HP,1051.21,605000.00,,781885,RT-qPCR - N1
10/06/2020,10/07/2020,Jamaica Bay,JA,1317.01,481000.00,,735054,RT-qPCR - N1
10/06/2020,10/07/2020,Newtown Creek,NC,1448.20,796000.00,,1227810,RT-qPCR - N1
10/06/2020,10/07/2020,North River,NR,823.50,412000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,649549,RT-qPCR - N1
10/06/2020,10/07/2020,Oakwood Beach,OB,3107.60,1050000.00,,243910,RT-qPCR - N1
10/06/2020,10/07/2020,Owls Head,OH,5823.77,2140000.00,,923524,RT-qPCR - N1
10/06/2020,10/07/2020,Port Richmond,PR,1403.08,524000.00,,224516,RT-qPCR - N1
10/06/2020,10/07/2020,Red Hook,RH,878.21,326000.00,,257556,RT-qPCR - N1
10/06/2020,10/07/2020,Rockaway,RK,1054.99,696000.00,,117991,RT-qPCR - N1
10/06/2020,10/07/2020,Tallman Island,TI,586.33,247000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),457817,RT-qPCR - N1
10/06/2020,10/07/2020,Wards Island,WI,1152.39,614000.00,,1173448,RT-qPCR - N1
10/11/2020,10/12/2020,26th Ward,26W,568.98,371000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),318262,RT-qPCR - N1
10/11/2020,10/12/2020,Bowery Bay,BB,3339.78,1180000.00,,894311,RT-qPCR - N1
10/11/2020,10/12/2020,Coney Island,CI,1660.76,719000.00,,647635,RT-qPCR - N1
10/11/2020,10/12/2020,Hunts Point,HP,845.77,496000.00,,781885,RT-qPCR - N1
10/11/2020,10/12/2020,Jamaica Bay,JA,1569.91,583000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,735054,RT-qPCR - N1
10/11/2020,10/12/2020,Newtown Creek,NC,681.63,386000.00,,1227810,RT-qPCR - N1
10/11/2020,10/12/2020,North River,NR,333.41,171000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),649549,RT-qPCR - N1
10/11/2020,10/12/2020,Oakwood Beach,OB,2105.90,730000.00,,243910,RT-qPCR - N1
10/11/2020,10/12/2020,Owls Head,OH,6037.71,2550000.00,,923524,RT-qPCR - N1
10/11/2020,10/12/2020,Port Richmond,PR,1488.90,573000.00,,224516,RT-qPCR - N1
10/11/2020,10/12/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,257556,RT-qPCR - N1
10/11/2020,10/12/2020,Rockaway,RK,1078.24,609000.00,,117991,RT-qPCR - N1
10/11/2020,10/12/2020,Tallman Island,TI,625.77,279000.00,,457817,RT-qPCR - N1
10/11/2020,10/12/2020,Wards Island,WI,600.21,321000.00,,1173448,RT-qPCR - N1
10/13/2020,10/14/2020,26th Ward,26W,1351.29,862000.00,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",318262,RT-qPCR - N1
10/13/2020,10/14/2020,Bowery Bay,BB,2338.25,1240000.00,,894311,RT-qPCR - N1
10/13/2020,10/14/2020,Coney Island,CI,13884.24,7010000.00,,647635,RT-qPCR - N1
10/13/2020,10/14/2020,Hunts Point,HP,1821.86,1410000.00,,781885,RT-qPCR - N1
10/13/2020,10/14/2020,Jamaica Bay,JA,2170.04,867000.00,,735054,RT-qPCR - N1
10/13/2020,10/14/2020,Newtown Creek,NC,2102.10,1420000.00,,1227810,RT-qPCR - N1
10/13/2020,10/14/2020,North River,NR,1011.38,610000.00,,649549,RT-qPCR - N1
10/13/2020,10/14/2020,Oakwood Beach,OB,1712.84,794000.00,,243910,RT-qPCR - N1
10/13/2020,10/14/2020,Owls Head,OH,4672.35,1890000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,923524,RT-qPCR - N1
10/13/2020,10/14/2020,Port Richmond,PR,2006.43,1050000.00,,224516,RT-qPCR - N1
10/13/2020,10/14/2020,Red Hook,RH,1294.87,635000.00,,257556,RT-qPCR - N1
10/13/2020,10/14/2020,Rockaway,RK,1044.11,689000.00,,117991,RT-qPCR - N1
10/13/2020,10/14/2020,Tallman Island,TI,540.42,309000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),457817,RT-qPCR - N1
10/13/2020,10/14/2020,Wards Island,WI,2065.97,1330000.00,,1173448,RT-qPCR - N1
10/18/2020,10/19/2020,26th Ward,26W,588.97,361000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,318262,RT-qPCR - N1
10/18/2020,10/19/2020,Bowery Bay,BB,3925.14,1540000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,894311,RT-qPCR - N1
10/18/2020,10/19/2020,Coney Island,CI,2614.98,1200000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,647635,RT-qPCR - N1
10/18/2020,10/19/2020,Hunts Point,HP,2564.91,1500000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,781885,RT-qPCR - N1
10/18/2020,10/19/2020,Jamaica Bay,JA,1312.87,519000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,735054,RT-qPCR - N1
10/18/2020,10/19/2020,Newtown Creek,NC,6100.54,3350000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,1227810,RT-qPCR - N1
10/18/2020,10/19/2020,North River,NR,1479.36,765000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,649549,RT-qPCR - N1
10/18/2020,10/19/2020,Oakwood Beach,OB,1793.34,748000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,243910,RT-qPCR - N1
10/18/2020,10/19/2020,Owls Head,OH,7749.80,2820000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,923524,RT-qPCR - N1
10/18/2020,10/19/2020,Port Richmond,PR,1228.99,514000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,224516,RT-qPCR - N1
10/18/2020,10/19/2020,Red Hook,RH,1850.31,657000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,257556,RT-qPCR - N1
10/18/2020,10/19/2020,Rockaway,RK,261.82,181000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,117991,RT-qPCR - N1
10/18/2020,10/19/2020,Tallman Island,TI,607.74,327000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,457817,RT-qPCR - N1
10/18/2020,10/19/2020,Wards Island,WI,444.47,244000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,1173448,RT-qPCR - N1
10/20/2020,10/21/2020,26th Ward,26W,1754.41,1670000.00,,318262,RT-qPCR - N1
10/20/2020,10/21/2020,Bowery Bay,BB,4378.07,1580000.00,,894311,RT-qPCR - N1
10/20/2020,10/21/2020,Coney Island,CI,2452.92,1090000.00,,647635,RT-qPCR - N1
10/20/2020,10/21/2020,Hunts Point,HP,2302.97,1280000.00,,781885,RT-qPCR - N1
10/20/2020,10/21/2020,Jamaica Bay,JA,3808.44,1420000.00,,735054,RT-qPCR - N1
10/20/2020,10/21/2020,Newtown Creek,NC,5292.51,2980000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,1227810,RT-qPCR - N1
10/20/2020,10/21/2020,North River,NR,1788.51,946000.00,,649549,RT-qPCR - N1
10/20/2020,10/21/2020,Oakwood Beach,OB,4794.55,1830000.00,,243910,RT-qPCR - N1
10/20/2020,10/21/2020,Owls Head,OH,18229.65,6390000.00,,923524,RT-qPCR - N1
10/20/2020,10/21/2020,Port Richmond,PR,3788.87,1520000.00,,224516,RT-qPCR - N1
